rule,width,beta2,seed,layer,h0,final_loss,mean_h_final,ratio_final,t_depart,late_rel_std,cv_h_final,t_1e-02,t_1e-03,t_1e-04,t_1e-06
A,128,0.99,2,W1,0.004,8.016546095771693e-31,1.6606066226959229,2.260722687287507e+35,100,1.1576748388917424,2.461883544921875,534,652,900,1027
A,128,0.99,2,W2,0.004,8.016546095771693e-31,0.008728155866265297,1.188236859673217e+33,100,1.3762681660113723,31.15321922302246,534,652,900,1027
A,128,0.99,2,W3,0.004,8.016546095771693e-31,0.00038374625728465617,5.224258762720524e+31,200,1.106058572317957,14.637957572937012,534,652,900,1027
A,128,0.99,2,W4,0.004,8.016546095771693e-31,0.00041638108086772263,5.668543911662588e+31,200,1.1586832476183044,18.144254684448242,534,652,900,1027
A,128,0.99,2,W5,0.004,8.016546095771693e-31,14.255638122558594,1.940739250642519e+36,100,1.134493350959853,3.1512129306793213,534,652,900,1027
A,256,0.99,0,W1,0.004,0.0,13.331472396850586,1.814924840753574e+36,100,2.0322580794580656,2.8536131381988525,241,337,357,544
A,256,0.99,0,W2,0.004,0.0,0.010646435432136059,1.449388301312274e+33,100,1.4677616500631092,23.529314041137695,241,337,357,544
A,256,0.99,0,W3,0.004,0.0,0.0004339010629337281,5.9070580811001835e+31,300,1.3075100184874984,10.42318058013916,241,337,357,544
A,256,0.99,0,W4,0.004,0.0,0.0005047312588430941,6.8713287798245e+31,300,1.703651061987376,30.48689079284668,241,337,357,544
A,256,0.99,0,W5,0.004,0.0,45.108360290527344,6.14097836907202e+36,100,1.5638160785610469,3.739556312561035,241,337,357,544
A,256,0.99,1,W1,0.004,0.0,3.53434419631958,4.8115983641754406e+35,100,0.7960379389657651,1.6893097162246704,239,367,399,440
A,256,0.99,1,W2,0.004,0.0,0.0053689684718847275,7.309225837011316e+32,100,0.8378687066634675,54.10222244262695,239,367,399,440
A,256,0.99,1,W3,0.004,0.0,0.00016659060202073306,2.2679372003571615e+31,300,1.049991383297031,31.137880325317383,239,367,399,440
A,256,0.99,1,W4,0.004,0.0,0.00015781124238856137,2.1484164346981354e+31,300,1.1907858933025683,27.040430068969727,239,367,399,440
A,256,0.99,1,W5,0.004,0.0,49.93391036987305,6.797920861888785e+36,100,1.1043063238577424,9.65854263305664,239,367,399,440
A,256,0.99,2,W1,0.004,0.0,3.911736488342285,5.32537405609582e+35,100,1.5834464688611807,2.8322715759277344,229,347,360,453
A,256,0.99,2,W2,0.004,0.0,0.0683748796582222,9.308444249905947e+33,100,1.2245867806559987,26.23362922668457,229,347,360,453
A,256,0.99,2,W3,0.004,0.0,0.01856130361557007,2.5269055064484487e+33,200,2.2801104341136487,18.40816879272461,229,347,360,453
A,256,0.99,2,W4,0.004,0.0,0.014682368375360966,1.9988336090942562e+33,300,1.9240579246543184,26.739418029785156,229,347,360,453
A,256,0.99,2,W5,0.004,0.0,2218.409912109375,3.020106959387632e+38,100,2.204067356955262,9.120491027832031,229,347,360,453
A,512,0.99,0,W1,0.004,0.0,41.959964752197266,5.712360951510337e+36,100,1.6326001870421862,3.3170783519744873,137,234,328,328
A,512,0.99,0,W2,0.004,0.0,0.07765426486730576,1.057172457045521e+34,100,1.362947138679434,64.67411804199219,137,234,328,328
