rule,width,beta2,seed,layer,h0,rho_init,final_loss,mean_h_final,ratio_final,t_depart,late_rel_std,cv_h_final,t_1e-02,t_1e-03,t_1e-04,t_1e-06
E,32,0.9995,0,W1,0.0004979597862061675,0.6367279207159324,0.0002226791693829,0.017076930031180382,1459.5773698137823,200,0.07124020907117389,3.0559701919555664,301,685,1901,4695
E,32,0.9995,0,W2,0.001971397736682498,1.2575494153522164,0.0002226791693829,0.0008152867085300386,17.601419856363858,1600,0.20089092158019456,10.923853874206543,301,685,1901,4695
E,32,0.9995,0,W3,0.0019978100991689387,1.2659033394990065,0.0002226791693829,0.0003260723315179348,6.946584750299909,4400,0.08879565557419322,13.42703914642334,301,685,1901,4695
E,32,0.9995,0,W4,0.0020514691727235024,1.2827075492040956,0.0002226791693829,0.0001533099275548011,3.1806572897699286,5900,0.12144064680825394,3.9812920093536377,301,685,1901,4695
E,32,0.9995,0,W5,0.0018352014379368873,1.2135596290858413,0.0002226791693829,0.0039039545226842165,90.53835574201088,300,0.15223817159608674,2.7159178256988525,301,685,1901,4695
E,32,0.9995,1,W1,0.0005107811945670376,0.6447136645677085,0.02192782796919346,0.02183794416487217,1819.6524468525627,200,0.1554444206807305,2.1369125843048096,275,526,1435,4562
E,32,0.9995,1,W2,0.0019684618544026757,1.2566174001321475,0.02192782796919346,0.0012199132470414042,26.376279610030092,2900,0.21112542109230714,12.658398628234863,275,526,1435,4562
E,32,0.9995,1,W3,0.0020062652114505503,1.268565969367719,0.02192782796919346,0.00032842179643921554,6.967151009140393,5200,0.13607660584339146,6.495238304138184,275,526,1435,4562
E,32,0.9995,1,W4,0.001990990750600157,1.2637517469256634,0.02192782796919346,0.00022003000776749104,4.703533760586935,6200,0.06784829155652752,4.265743732452393,275,526,1435,4562
E,32,0.9995,1,W5,0.0020289331246662466,1.2756769814750037,0.02192782796919346,0.0060628727078437805,127.18102230034633,300,0.4319783078317705,1.2491333484649658,275,526,1435,4562
E,32,0.9995,2,W1,0.000564972096527651,0.6774271724907632,4.868441578764759e-07,0.016980450600385666,1279.1863183708174,200,0.13428497267731046,2.4037957191467285,361,742,1803,4368
E,32,0.9995,2,W2,0.0019833067160282894,1.2613229369432994,4.868441578764759e-07,0.0013077768962830305,28.06437482565721,1900,0.14490837028646705,11.775632858276367,361,742,1803,4368
E,32,0.9995,2,W3,0.00197164852968429,1.2576289992256902,4.868441578764759e-07,0.00036222199560143054,7.819102632587041,3900,0.08267885402187793,6.4528727531433105,361,742,1803,4368
E,32,0.9995,2,W4,0.0020215355301278506,1.27336069257251,4.868441578764759e-07,0.0002695237926673144,5.674496395234198,6100,0.1456049079696903,4.250396251678467,361,742,1803,4368
E,32,0.9995,2,W5,0.0021487113184377933,1.3126124302980153,4.868441578764759e-07,0.01192449126392603,236.19645885699168,200,0.7843929013101082,1.909928321838379,361,742,1803,4368
E,32,0.99,0,W1,0.0004979597862061675,0.6367279207159324,0.43821635842323303,3.5429024696350098,3.87440881055398e+36,100,1.0918806328472221,1.6174989938735962,1142,1671,1897,2520
E,32,0.99,0,W2,0.001971397736682498,1.2575494153522164,0.43821635842323303,0.06090179458260536,1.6822725358765823e+34,100,1.085625342705178,7.956977367401123,1142,1671,1897,2520
E,32,0.99,0,W3,0.0019978100991689387,1.2659033394990065,0.43821635842323303,0.008895249105989933,2.4246241631378185e+33,100,1.30749975632064,17.690330505371094,1142,1671,1897,2520
E,32,0.99,0,W4,0.0020514691727235024,1.2827075492040956,0.43821635842323303,0.00937408022582531,2.4883083054192708e+33,100,1.7667945320902152,6.8157548904418945,1142,1671,1897,2520
E,32,0.99,0,W5,0.0018352014379368873,1.2135596290858413,0.43821635842323303,22.681774139404297,6.730290328489903e+36,100,1.3762608727741448,2.636939525604248,1142,1671,1897,2520
E,32,0.99,1,W1,0.0005107811945670376,0.6447136645677085,2.4806690035461543e-09,7.210674285888672,7.687435719898867e+36,100,1.506367241244471,4.0800018310546875,1259,1698,1980,2630
E,32,0.99,1,W2,0.0019684618544026757,1.2566174001321475,2.4806690035461543e-09,0.07969041913747787,2.204548339551644e+34,100,1.0052704015019955,14.481545448303223,1259,1698,1980,2630
E,32,0.99,1,W3,0.0020062652114505503,1.268565969367719,2.4806690035461543e-09,0.0026341471821069717,7.149772336182384e+32,100,1.637028917147494,4.9966912269592285,1259,1698,1980,2630
E,32,0.99,1,W4,0.001990990750600157,1.2637517469256634,2.4806690035461543e-09,0.0023884668480604887,6.532666590729305e+32,100,1.5867005194913306,12.19951057434082,1259,1698,1980,2630
E,32,0.99,1,W5,0.0020289331246662466,1.2756769814750037,2.4806690035461543e-09,4.334496974945068,1.1633529354159072e+36,100,1.885205115643076,2.498818874359131,1259,1698,1980,2630
E,32,0.99,2,W1,0.000564972096527651,0.6774271724907632,0.004084715154021978,1.5104371309280396,1.455848464535205e+36,100,1.640726276625916,2.4489362239837646,1156,1607,2045,2623
E,32,0.99,2,W2,0.0019833067160282894,1.2613229369432994,0.004084715154021978,0.008868085220456123,2.4348964348486293e+33,100,1.666281101586171,5.116689205169678,1156,1607,2045,2623
E,32,0.99,2,W3,0.00197164852968429,1.2576289992256902,0.004084715154021978,0.004349611233919859,1.2013276162750419e+33,100,1.6144077444086502,9.312681198120117,1156,1607,2045,2623
E,32,0.99,2,W4,0.0020215355301278506,1.27336069257251,0.004084715154021978,0.0013718502596020699,3.695437396023721e+32,100,1.1188666381919345,6.240169525146484,1156,1607,2045,2623
E,32,0.99,2,W5,0.0021487113184377933,1.3126124302980153,0.004084715154021978,2.4701485633850098,6.260161263605745e+35,100,0.9941343128068981,1.8018708229064941,1156,1607,2045,2623
E,64,0.9995,0,W1,0.00048680161428279274,0.6296956998371211,3.7193296975601697e-07,0.09068677574396133,7928.728479511411,300,0.8463622826111017,4.991264343261719,286,511,1086,3378
E,64,0.9995,0,W2,0.002839946467558108,1.5081952879298608,3.7193296975601697e-07,0.0010991758899763227,16.472845833173086,3900,0.1617505339624996,10.559798240661621,286,511,1086,3378
E,64,0.9995,0,W3,0.0028237531400514843,1.5039044193590052,3.7193296975601697e-07,0.0004728334315586835,7.126774915927565,5600,0.20144371011828388,11.612114906311035,286,511,1086,3378
E,64,0.9995,0,W4,0.002800192031492182,1.497639297770443,3.7193296975601697e-07,0.00040675379568710923,6.182375692913516,5600,0.20522148052970177,8.00301742553711,286,511,1086,3378
E,64,0.9995,0,W5,0.00258468113414758,1.439067699645086,3.7193296975601697e-07,0.04613012075424194,759.607444836749,800,0.7961474817173904,2.979689121246338,286,511,1086,3378
E,64,0.9995,1,W1,0.0005040496217165774,0.6405333554117746,8.330712444148958e-05,0.015849776566028595,1338.3245516441723,300,0.26122956318459434,1.9258720874786377,282,547,1530,3850
E,64,0.9995,1,W2,0.0028206009799308855,1.503067743343693,8.330712444148958e-05,0.0006024361355230212,9.090357338238093,4800,0.17614087925272925,9.397911071777344,282,547,1530,3850
E,64,0.9995,1,W3,0.0028144981646978325,1.5014465515240387,8.330712444148958e-05,0.0003375077503733337,5.103808541713649,6700,0.265444580917273,7.087918281555176,282,547,1530,3850
E,64,0.9995,1,W4,0.002817640167175748,1.5022814321428972,8.330712444148958e-05,0.0002716405433602631,4.10318080778106,6900,0.1912569858743027,11.731595039367676,282,547,1530,3850
E,64,0.9995,1,W5,0.002749864923951175,1.4841682673988466,8.330712444148958e-05,0.01707754284143448,264.3173162785432,2000,0.6734451096189834,1.6319310665130615,282,547,1530,3850
E,64,0.9995,2,W1,0.0005185408491377739,0.6494990308987831,1.6837020666571334e-05,0.017169158905744553,1409.2162407168848,200,0.10994915355723653,4.719366073608398,264,556,1655,4139
E,64,0.9995,2,W2,0.002821292213901364,1.503251257033881,1.6837020666571334e-05,0.0006022891611792147,9.085912943759661,4100,0.2021309150654308,20.818490982055664,264,556,1655,4139
E,64,0.9995,2,W3,0.0028271842105309242,1.504814597633483,1.6837020666571334e-05,0.00020456852507777512,3.079614113215669,5800,0.17143803776031905,8.23750114440918,264,556,1655,4139
E,64,0.9995,2,W4,0.002821456590861181,1.5032948936962995,1.6837020666571334e-05,0.00013711849169339985,2.0683986634020113,7400,0.1921899466905388,3.898280620574951,264,556,1655,4139
E,64,0.9995,2,W5,0.0027332955865573554,1.4797063269055941,1.6837020666571334e-05,0.008403662592172623,130.8559880458539,1800,0.204791215456286,1.5944911241531372,264,556,1655,4139
E,64,0.99,0,W1,0.00048680161428279274,0.6296956998371211,2.0333643957853422e-20,0.9104731678962708,1.0184873988406148e+36,100,1.280165261665119,2.334897994995117,838,1160,1294,1697
E,64,0.99,0,W2,0.002839946467558108,1.5081952879298608,2.0333643957853422e-20,0.005403340328484774,1.03607856053154e+33,100,1.22461760235917,11.531526565551758,838,1160,1294,1697
E,64,0.99,0,W3,0.0028237531400514843,1.5039044193590052,2.0333643957853422e-20,0.0001435392623534426,2.7681173765413897e+31,100,1.4532995440792675,6.4169721603393555,838,1160,1294,1697
E,64,0.99,0,W4,0.002800192031492182,1.497639297770443,2.0333643957853422e-20,0.00013687522732652724,2.661813089939994e+31,100,1.7553787546744342,17.25945472717285,838,1160,1294,1697
E,64,0.99,0,W5,0.00258468113414758,1.439067699645086,2.0333643957853422e-20,1.018711805343628,2.1462726160430403e+35,100,2.198990915423346,2.32436203956604,838,1160,1294,1697
E,64,0.99,1,W1,0.0005040496217165774,0.6405333554117746,5.098516406047825e-19,8.649163246154785,9.344182658839062e+36,100,1.4571122323016878,2.4414877891540527,576,819,955,1339
E,64,0.99,1,W2,0.0028206009799308855,1.503067743343693,5.098516406047825e-19,0.06310511380434036,1.2183257411371718e+34,100,1.693686378125947,19.641796112060547,576,819,955,1339
E,64,0.99,1,W3,0.0028144981646978325,1.5014465515240387,5.098516406047825e-19,0.0022351820953190327,4.324664870448959e+32,100,1.2338349216163054,7.425207138061523,576,819,955,1339
E,64,0.99,1,W4,0.002817640167175748,1.5022814321428972,5.098516406047825e-19,0.002082764869555831,4.025271999949622e+32,100,1.3489715070130324,16.198904037475586,576,819,955,1339
E,64,0.99,1,W5,0.002749864923951175,1.4841682673988466,5.098516406047825e-19,12.762154579162598,2.5272788192178166e+36,100,1.3447313273566384,2.11236310005188,576,819,955,1339
E,64,0.99,2,W1,0.0005185408491377739,0.6494990308987831,3.0890614073743864e-20,21.107202529907227,2.2166045542065758e+37,100,1.7242904811133755,4.81702184677124,835,1110,1249,1465
E,64,0.99,2,W2,0.002821292213901364,1.503251257033881,3.0890614073743864e-20,0.07126070559024811,1.3754429013838268e+34,100,1.5710468375478313,9.795757293701172,835,1110,1249,1465
E,64,0.99,2,W3,0.0028271842105309242,1.504814597633483,3.0890614073743864e-20,0.009811053983867168,1.889740092238127e+33,100,1.9592234072191308,8.646097183227539,835,1110,1249,1465
E,64,0.99,2,W4,0.002821456590861181,1.5032948936962995,3.0890614073743864e-20,0.011683622375130653,2.2549901918928872e+33,100,2.005170810666156,16.892152786254883,835,1110,1249,1465
E,64,0.99,2,W5,0.0027332955865573554,1.4797063269055941,3.0890614073743864e-20,119.45735168457031,2.37994434214148e+37,100,1.9942612662445807,6.046077728271484,835,1110,1249,1465
E,128,0.9995,0,W1,0.0004956131834357908,0.6352554841618332,0.005687288008630276,0.020503288134932518,1760.7279515341797,300,0.5803597898140037,2.4663286209106445,368,567,1086,3025
E,128,0.9995,0,W2,0.003993865583739017,1.787635509606515,0.005687288008630276,0.0005731509299948812,6.107832958017061,6300,0.2481457780783431,52.24026870727539,368,567,1086,3025
E,128,0.9995,0,W3,0.00401116150578433,1.791492467949922,0.005687288008630276,0.00020051441970281303,2.1275856620112537,7100,0.13902208473047148,8.700063705444336,368,567,1086,3025
E,128,0.9995,0,W4,0.004002341535866104,1.7895266698151755,0.005687288008630276,0.00017152231885120273,1.8239716650717372,,0.16973298564740832,4.556058406829834,368,567,1086,3025
E,128,0.9995,0,W5,0.004007088797747282,1.7905850094784244,0.005687288008630276,0.01927875354886055,204.76775975255677,1800,0.59355587986418,1.428196907043457,368,567,1086,3025
E,128,0.9995,1,W1,0.00048786481702885556,0.6303691440907824,0.08867304027080536,0.01846304163336754,1610.7025395655378,400,0.605165209037913,2.767446517944336,300,493,1068,3254
E,128,0.9995,1,W2,0.0039928213038783605,1.787402370723492,0.08867304027080536,0.0006228472921065986,6.639162530701316,6700,0.3878515724614709,24.997318267822266,300,493,1068,3254
E,128,0.9995,1,W3,0.003992978635774884,1.787437497527842,0.08867304027080536,0.00025432236725464463,2.7108105353825,6900,0.15008701721851078,7.361440181732178,300,493,1068,3254
E,128,0.9995,1,W4,0.003995471960194152,1.787994079039364,0.08867304027080536,0.00026007433189079165,2.7703905574159893,6900,0.1735628953387217,7.152555465698242,300,493,1068,3254
E,128,0.9995,1,W5,0.004266180215065303,1.847426752212809,0.08867304027080536,0.05766584351658821,575.2955912243441,2200,1.007200016329836,2.4181289672851562,300,493,1068,3254
E,128,0.9995,2,W1,0.0005060837200323074,0.6417994019218435,1.4009877986609354e-06,0.019858885556459427,1670.1062455031783,400,0.5869515678369924,1.9425333738327026,291,571,1175,3118
E,128,0.9995,2,W2,0.004,1.7890044245924732,1.4009877986609354e-06,0.00046178855700418353,4.9135430974395895,6300,0.14058169001253387,17.78061294555664,291,571,1175,3118
E,128,0.9995,2,W3,0.00401107650488611,1.791473533212602,1.4009877986609354e-06,0.00025806156918406487,2.7382555853187234,7100,0.07154401656188357,6.363823413848877,291,571,1175,3118
E,128,0.9995,2,W4,0.003994318854071281,1.7877366942233706,1.4009877986609354e-06,0.00023395167954731733,2.4928435950624794,7100,0.08555365422920834,7.356639385223389,291,571,1175,3118
E,128,0.9995,2,W5,0.0038805258911179144,1.7621520655354852,1.4009877986609354e-06,0.06192173808813095,679.1475630349254,700,0.7369792882579485,2.6590869426727295,291,571,1175,3118
E,128,0.99,0,W1,0.0004956131834357908,0.6352554841618332,2.4788899499925744e-28,1.658087968826294,1.821819038362225e+36,100,0.7807442249463533,1.8542592525482178,377,538,708,883
E,128,0.99,0,W2,0.003993865583739017,1.787635509606515,2.4788899499925744e-28,0.00437484635040164,5.9649921817152195e+32,100,0.878700400344669,26.028911590576172,377,538,708,883
E,128,0.99,0,W3,0.00401116150578433,1.791492467949922,2.4788899499925744e-28,0.00010171576286666095,1.3808885552562318e+31,200,0.8692476682039967,7.347235202789307,377,538,708,883
E,128,0.99,0,W4,0.004002341535866104,1.7895266698151755,2.4788899499925744e-28,9.557977318763733e-05,1.3004461342458595e+31,200,0.8452972475305863,10.693829536437988,377,538,708,883
E,128,0.99,0,W5,0.004007088797747282,1.7905850094784244,2.4788899499925744e-28,3.184356451034546,4.327461648726718e+35,100,0.8972591321106008,2.8181569576263428,377,538,708,883
E,128,0.99,1,W1,0.00048786481702885556,0.6303691440907824,0.0,0.7059148550033569,7.879403480033006e+35,100,1.6748958118248625,2.386594295501709,432,657,769,1016
E,128,0.99,1,W2,0.0039928213038783605,1.787402370723492,0.0,0.004781997762620449,6.521838090179546e+32,100,1.2447556320849436,66.49991607666016,432,657,769,1016
E,128,0.99,1,W3,0.003992978635774884,1.787437497527842,0.0,0.0001220929407281801,1.6650760961265088e+31,200,1.5147818055200173,13.4193754196167,432,657,769,1016
E,128,0.99,1,W4,0.003995471960194152,1.787994079039364,0.0,0.00012647511903196573,1.7237628949125159e+31,200,1.816271468906582,26.32478141784668,432,657,769,1016
E,128,0.99,1,W5,0.004266180215065303,1.847426752212809,0.0,5.50003719329834,7.020482279218692e+35,100,1.7248535050366354,2.593247890472412,432,657,769,1016
E,128,0.99,2,W1,0.0005060837200323074,0.6417994019218435,0.0,3.9972219467163086,4.301069048550659e+36,100,1.8431199981475581,2.0100109577178955,421,586,817,963
E,128,0.99,2,W2,0.004,1.7890044245924732,0.0,0.018557321280241013,2.5263633578321697e+33,100,1.188895888350002,18.03643035888672,421,586,817,963
E,128,0.99,2,W3,0.00401107650488611,1.791473533212602,0.0,0.002925223670899868,3.9713544647839494e+32,200,1.437211310837292,22.322044372558594,421,586,817,963
E,128,0.99,2,W4,0.003994318854071281,1.7877366942233706,0.0,0.003508002031594515,4.782529133576641e+32,200,1.676841608401541,20.943933486938477,421,586,817,963
E,128,0.99,2,W5,0.0038805258911179144,1.7621520655354852,0.0,69.22531127929688,9.714374684107608e+36,100,1.2081547204297076,4.647034645080566,421,586,817,963
E,256,0.9995,0,W1,0.0004852428302464742,0.6287070448775114,7.3211299245201644e-09,0.03283659741282463,2880.1202139020593,600,0.6125939477051459,7.59901762008667,346,582,1278,2543
E,256,0.9995,0,W2,0.005671177089392512,2.1294055999939587,7.3211299245201644e-09,0.00040803803130984306,3.0622386147892975,6300,0.19699777220545647,19.633981704711914,346,582,1278,2543
E,256,0.9995,0,W3,0.005646835567059885,2.124838886688718,7.3211299245201644e-09,0.0002544086892157793,1.9175133350128901,,0.1467029577264978,7.269644260406494,346,582,1278,2543
E,256,0.9995,0,W4,0.0056458869418947715,2.1246607163912268,7.3211299245201644e-09,0.0002413035836070776,1.8190439342940412,,0.15266834690739178,29.952457427978516,346,582,1278,2543
E,256,0.9995,0,W5,0.005599826721883742,2.115991660724383,7.3211299245201644e-09,0.06714201718568802,510.3068408089341,400,0.6544519801181249,5.2921648025512695,346,582,1278,2543
E,256,0.9995,1,W1,0.000493478123394083,0.6339128140119701,4.764414778704378e-44,0.018158454447984695,1566.111109627615,600,0.6837995749765542,2.987438201904297,370,650,1289,2811
E,256,0.9995,1,W2,0.005658393242175085,2.127008444748815,4.764414778704378e-44,0.00033744206302799284,2.5381523413656635,7000,0.0892815181793551,14.020689010620117,370,650,1289,2811
E,256,0.9995,1,W3,0.005662155845798632,2.127714267518539,4.764414778704378e-44,0.00020977811072953045,1.5768484118651456,,0.16351193113736479,4.197418212890625,370,650,1289,2811
E,256,0.9995,1,W4,0.0056573050902888255,2.1268042758387664,4.764414778704378e-44,0.00019049331604037434,1.4331172900710685,,0.18840723545056115,8.944025039672852,370,650,1289,2811
E,256,0.9995,1,W5,0.005987609734452937,2.1879043397934503,4.764414778704378e-44,0.03958427906036377,281.37198074316944,200,0.7663228102571435,3.817676544189453,370,650,1289,2811
E,256,0.9995,2,W1,0.0004933460733583795,0.6338296786231529,1.7220079265571035e-36,0.011474210768938065,989.8804366181862,600,0.10418706477178634,8.00940990447998,312,619,1032,2511
E,256,0.9995,2,W2,0.005666266976370915,2.1284852025026866,1.7220079265571035e-36,0.00028159882640466094,2.1151705995983985,7400,0.1970833963456346,20.555374145507812,312,619,1032,2511
E,256,0.9995,2,W3,0.005660382870668124,2.127381706194572,1.7220079265571035e-36,0.0002171591331716627,1.6328409569689788,,0.22534039066071765,16.689119338989258,312,619,1032,2511
E,256,0.9995,2,W4,0.0056604072651211795,2.1273862822751055,1.7220079265571035e-36,0.0001964166876859963,1.47687009714186,,0.23770447608290124,18.357040405273438,312,619,1032,2511
E,256,0.9995,2,W5,0.005711294891719924,2.1369108044855456,1.7220079265571035e-36,0.040079157799482346,298.67274692114427,2000,0.20780675728049774,5.824215888977051,312,619,1032,2511
E,256,0.99,0,W1,0.0004852428302464742,0.6287070448775114,0.0,35.158382415771484,3.9455747611809856e+37,100,1.0982443668181376,3.9787681102752686,289,414,453,535
E,256,0.99,0,W2,0.005671177089392512,2.1294055999939587,0.0,0.10229268670082092,9.822270607272205e+33,200,1.2442057948204677,60.54233932495117,289,414,453,535
E,256,0.99,0,W3,0.005646835567059885,2.124838886688718,0.0,0.0035388667602092028,3.412711598521334e+32,200,1.2667740336819782,14.703156471252441,289,414,453,535
E,256,0.99,0,W4,0.0056458869418947715,2.1246607163912268,0.0,0.007156106177717447,6.902161499863239e+32,300,1.3147257114298068,88.96431732177734,289,414,453,535
E,256,0.99,0,W5,0.005599826721883742,2.115991660724383,0.0,588.2160034179688,5.720088732318505e+37,100,1.565294833960288,6.7930707931518555,289,414,453,535
E,256,0.99,1,W1,0.000493478123394083,0.6339128140119701,3.211959132322429e-30,5.064332008361816,5.58849392734783e+36,100,1.3376253455384461,6.477915287017822,304,326,466,569
