rule,width,beta2,seed,layer,h0,final_loss,mean_h_final,ratio_final,t_depart,late_rel_std,cv_h_final,t_1e-02,t_1e-03,t_1e-04,t_1e-06
A,128,0.9995,0,W1,0.004,0.03814559057354927,0.014506366103887558,154.35128038056303,1500,0.1392115726085957,2.5032925605773926,315,535,1487,3531
A,128,0.9995,0,W2,0.004,0.03814559057354927,0.00037482273182831705,3.9882054650431558,5600,0.11037088101671239,30.323509216308594,315,535,1487,3531
A,128,0.9995,0,W3,0.004,0.03814559057354927,0.00015421371790580451,1.640871644941382,,0.2136125590599387,5.153581619262695,315,535,1487,3531
A,128,0.9995,0,W4,0.004,0.03814559057354927,0.0001520688529126346,1.6180497572564643,,0.17199450740389702,20.28288459777832,315,535,1487,3531
A,128,0.9995,0,W5,0.004,0.03814559057354927,0.01025932002812624,109.16167225028649,1900,0.44982929574471026,3.012183666229248,315,535,1487,3531
A,128,0.9995,2,W1,0.004,4.8319026731136194e-12,0.01740989461541176,185.2455333013636,1200,0.23055410010308613,3.3721115589141846,336,680,2222,3654
A,128,0.9995,2,W2,0.004,4.8319026731136194e-12,0.0003237791243009269,3.4450890070224105,5300,0.19832727190884092,17.88089370727539,336,680,2222,3654
A,128,0.9995,2,W3,0.004,4.8319026731136194e-12,0.00015499989967793226,1.6492368111222673,,0.23782735355365014,3.871673822402954,336,680,2222,3654
A,128,0.9995,2,W4,0.004,4.8319026731136194e-12,0.00014842391829006374,1.579266762130863,,0.24740875408832877,11.211898803710938,336,680,2222,3654
A,128,0.9995,2,W5,0.004,4.8319026731136194e-12,0.00896147545427084,95.35228881994121,400,0.19849795798470582,3.4447131156921387,336,680,2222,3654
A,128,0.999,0,W1,0.004,2.939826366793062e-16,0.38060319423675537,172683.4602912598,500,0.4425816917655426,1.8161089420318604,290,707,1429,2152
A,128,0.999,0,W2,0.004,2.939826366793062e-16,0.0006611825083382428,299.9850898594388,2100,0.2118032075934574,27.284969329833984,290,707,1429,2152
A,128,0.999,0,W3,0.004,2.939826366793062e-16,0.00010199927055509761,46.27808503278634,3600,0.2327668521862436,21.878398895263672,290,707,1429,2152
A,128,0.999,0,W4,0.004,2.939826366793062e-16,0.00014851742889732122,67.38383682507164,3800,0.22433821091280545,46.00292205810547,290,707,1429,2152
A,128,0.999,0,W5,0.004,2.939826366793062e-16,0.09747602790594101,44225.84478829831,100,0.17062738210533315,1.8697515726089478,290,707,1429,2152
A,128,0.999,2,W1,0.004,0.0,2.95463490486145,1340547.2865039348,600,1.2708548541294242,4.395822048187256,309,736,1418,2332
A,128,0.999,2,W2,0.004,0.0,0.007430006749927998,3371.0680703506264,3000,1.2523692488173166,30.341712951660156,309,736,1418,2332
A,128,0.999,2,W3,0.004,0.0,0.0009033550159074366,409.8611687460651,3400,1.0794691558765859,9.168951034545898,309,736,1418,2332
A,128,0.999,2,W4,0.004,0.0,0.0012439275160431862,564.3823043908255,3400,1.1404587312317473,22.56511116027832,309,736,1418,2332
A,128,0.999,2,W5,0.004,0.0,1.482415795326233,672586.8122066136,100,1.2157100247640353,2.738258123397827,309,736,1418,2332
A,128,0.99,0,W1,0.004,2.7562355294768333e-38,20.513702392578125,2.7927018816699824e+36,100,2.2987257394929874,3.0063109397888184,492,661,684,942
A,128,0.99,0,W2,0.004,2.7562355294768333e-38,0.06332718580961227,8.621259467786503e+33,100,1.8747726660296815,50.898529052734375,492,661,684,942
A,128,0.99,0,W3,0.004,2.7562355294768333e-38,0.001258418313227594,1.7131901028993065e+32,200,1.7656829319089882,17.562471389770508,492,661,684,942
A,128,0.99,0,W4,0.004,2.7562355294768333e-38,0.001047171768732369,1.4256025133857039e+32,200,1.8587974724370941,15.037814140319824,492,661,684,942
A,128,0.99,0,W5,0.004,2.7562355294768333e-38,32.105552673339844,4.370797413699949e+36,100,1.4673439412933595,3.1588950157165527,492,661,684,942
A,128,0.99,2,W1,0.004,8.016546095771693e-31,1.6606066226959229,2.260722687287507e+35,100,1.1576748388917424,2.461883544921875,534,652,900,1027
A,128,0.99,2,W2,0.004,8.016546095771693e-31,0.008728155866265297,1.188236859673217e+33,100,1.3762681660113723,31.15321922302246,534,652,900,1027
A,128,0.99,2,W3,0.004,8.016546095771693e-31,0.00038374625728465617,5.224258762720524e+31,200,1.106058572317957,14.637957572937012,534,652,900,1027
A,128,0.99,2,W4,0.004,8.016546095771693e-31,0.00041638108086772263,5.668543911662588e+31,200,1.1586832476183044,18.144254684448242,534,652,900,1027
A,128,0.99,2,W5,0.004,8.016546095771693e-31,14.255638122558594,1.940739250642519e+36,100,1.134493350959853,3.1512129306793213,534,652,900,1027
A,128,0.9,0,W1,0.004,0.005953262560069561,153.52139282226562,inf,100,1.320200157084744,3.118617296218872,2146,2495,2642,3363
A,128,0.9,0,W2,0.004,0.005953262560069561,0.3339255750179291,inf,100,1.1430906451977527,19.020734786987305,2146,2495,2642,3363
A,128,0.9,0,W3,0.004,0.005953262560069561,0.0035688835196197033,inf,100,1.7883411668781117,9.403712272644043,2146,2495,2642,3363
A,128,0.9,0,W4,0.004,0.005953262560069561,0.006080878432840109,inf,100,1.5149563424314478,59.68468475341797,2146,2495,2642,3363
A,128,0.9,0,W5,0.004,0.005953262560069561,205.73435974121094,inf,100,1.494254018947613,6.435248374938965,2146,2495,2642,3363
A,128,0.9,2,W1,0.004,0.0014987289905548096,5.851073265075684,inf,100,2.0629711829077606,2.5208687782287598,2168,2518,2749,3378
A,128,0.9,2,W2,0.004,0.0014987289905548096,0.12044376134872437,inf,100,1.7545167916983677,18.756254196166992,2168,2518,2749,3378
A,128,0.9,2,W3,0.004,0.0014987289905548096,0.009329576976597309,inf,100,2.134460629992923,6.559340000152588,2168,2518,2749,3378
A,128,0.9,2,W4,0.004,0.0014987289905548096,0.003452836535871029,inf,100,2.6150701447213347,22.092172622680664,2168,2518,2749,3378
A,128,0.9,2,W5,0.004,0.0014987289905548096,231.97525024414062,inf,100,2.6869533682543243,6.708040237426758,2168,2518,2749,3378
A,512,0.9995,0,W1,0.004,0.0,0.02872643433511257,305.65628143112536,100,0.1409762424711277,7.481205940246582,30,30,30,30
A,512,0.9995,0,W2,0.004,0.0,0.0002934280491899699,3.1221461507100083,100,0.22860292956098294,24.2149715423584,30,30,30,30
A,512,0.9995,0,W3,0.004,0.0,0.0002700707991607487,2.8736193024035215,100,0.25935824826790904,4.862579822540283,30,30,30,30
A,512,0.9995,0,W4,0.004,0.0,0.0002592834352981299,2.7588391147119937,100,0.2685707461055769,10.298760414123535,30,30,30,30
A,512,0.9995,0,W5,0.004,0.0,0.31976282596588135,3402.3546112429963,100,0.24269762074322673,7.5297346115112305,30,30,30,30
A,512,0.9995,2,W1,0.004,0.0,0.024427618831396103,259.9158339361023,100,0.20157800247013757,5.191098213195801,59,99,104,116
A,512,0.9995,2,W2,0.004,0.0,0.00012343854177743196,1.3134162501627655,,0.2687777697977031,3.0330235958099365,59,99,104,116
A,512,0.9995,2,W3,0.004,0.0,0.00012684802641160786,1.349693999873072,,0.27663352657776014,1.3844090700149536,59,99,104,116
A,512,0.9995,2,W4,0.004,0.0,0.00012265806435607374,1.3051117796680853,,0.28202559308568276,1.3165855407714844,59,99,104,116
A,512,0.9995,2,W5,0.004,0.0,0.009677563793957233,102.97164375036488,100,0.21602770764923318,2.4736225605010986,59,99,104,116
A,512,0.999,0,W1,0.004,0.0,1.227333426475525,556853.4006655869,100,0.18582157165826196,15.24614143371582,50,51,51,59
A,512,0.999,0,W2,0.004,0.0,0.0014656492276117206,664.9796534281492,2000,0.45818817534980116,35.89812088012695,50,51,51,59
A,512,0.999,0,W3,0.004,0.0,0.0006326062139123678,287.01974043913856,3300,0.4650854592843178,35.64675521850586,50,51,51,59
A,512,0.999,0,W4,0.004,0.0,0.00037617015186697245,170.67214481197956,3300,0.42754150522381207,31.620315551757812,50,51,51,59
A,512,0.999,0,W5,0.004,0.0,3.22965145111084,1465325.0328886749,100,0.3816420003379974,12.415573120117188,50,51,51,59
A,512,0.999,2,W1,0.004,0.0,0.7651081681251526,347137.1968748421,100,0.3565832603644839,2.4399335384368896,50,133,191,683
A,512,0.999,2,W2,0.004,0.0,0.00048034428618848324,217.93698719870628,2900,0.380508867205498,84.88807678222656,50,133,191,683
