rule,width,seed,layer,status,final_loss,wall,h0,sigma0,rho_init,rel_perturb,rel_analytic,mean_h,mean_var,offdiag,cv_h,r_final,h0_frac,h0_env_frac,t_1e-02,t_1e-03,t_1e-04,t_1e-06
A,32,0,W1,ok,0.0018437375547364354,16.7,0.004,0.09117319756073991,0.2266190438315002,0.17440964338368647,0.030454507576254487,0.03539545461535454,0.010754370130598545,0.28843545664346093,3.7072577476501465,33.48072052001953,8.848863653838634,376.61628697403165,559,1882,4523,
A,32,0,W2,ok,0.0018437375547364354,16.7,0.004,0.09117319756073991,0.8839724396616182,1.0041143149794327,0.16932570128586125,0.0028055692091584206,0.25167766213417053,0.37367369780783943,19.615549087524414,13.754717826843262,0.7013923022896051,29.85194200454066,559,1882,4523,
A,32,0,W3,ok,0.0018437375547364354,16.7,0.004,0.09117319756073991,0.8957559098665935,0.5607492118270588,0.09765729729604296,0.0005488345050252974,0.2507326304912567,0.3452985924092337,13.144742965698242,1.9985259771347046,0.13720862625632435,5.8397332564897075,559,1882,4523,
A,32,0,W4,ok,0.0018437375547364354,16.7,0.004,0.09117319756073991,0.9196951823972574,0.3458883454753079,0.06392288505244877,0.0003889144863933325,0.2677818238735199,0.29520647793548715,15.852727890014648,1.785609483718872,0.09722862159833312,4.138145177328225,559,1882,4523,
A,32,0,W5,ok,0.0018437375547364354,16.7,0.004,0.09117319756073991,0.8232103859152564,0.19103306864344444,0.17028899314464907,0.0034496912267059088,0.02184661664068699,0.4412624758643984,2.5332908630371094,2.1547563076019287,0.8624228066764772,36.70555768042812,559,1882,4523,
A,32,1,W1,ok,0.0027949782088398933,16.7,0.004,0.09117319756073991,0.23233913030472167,0.17698229614812827,0.03070262200551578,0.021560369059443474,0.01085640024393797,0.4467589551870491,3.3529112339019775,18.460357666015625,5.3900922648608685,229.40759567006518,502,1499,3422,
A,32,1,W2,ok,0.0027949782088398933,16.7,0.004,0.09117319756073991,0.8826626573114872,0.7615494466577863,0.12868539367995147,0.0012632989091798663,0.24762174487113953,0.3568069320839826,12.039772987365723,3.8616909980773926,0.3158247272949666,13.441809116000814,502,1499,3422,
A,32,1,W3,ok,0.0027949782088398933,16.7,0.004,0.09117319756073991,0.8995280776139409,0.642848841910659,0.1147190809284729,0.0004516243061516434,0.24224764108657837,0.3615255414858088,11.460870742797852,1.5683562755584717,0.11290607653791085,4.805392984450344,502,1499,3422,
A,32,1,W4,ok,0.0027949782088398933,16.7,0.004,0.09117319756073991,0.8927135559757317,0.38153953645898847,0.06831758226247077,0.0003250428708270192,0.2633076012134552,0.32337300906504696,10.186860084533691,1.2363864183425903,0.0812607177067548,3.458535578891747,502,1499,3422,
A,32,1,W5,ok,0.0027949782088398933,16.7,0.004,0.09117319756073991,0.9096410128950783,1.261098950370687,1.5338490370114826,0.0034695458598434925,0.019551897421479225,0.43343252041882563,2.2362494468688965,1.9137444496154785,0.8673864649608731,36.91681582904545,502,1499,3422,
A,32,2,W1,ok,0.00044037733459845185,16.7,0.004,0.09117319756073991,0.25651562520118787,0.17888439989341526,0.03206516784542208,0.036343421787023544,0.015929464250802994,0.4441320503814812,3.1168510913848877,29.237483978271484,9.085855446755886,386.702889342811,752,1860,4137,
A,32,2,W2,ok,0.00044037733459845185,16.7,0.004,0.09117319756073991,0.8892854401343938,0.8218776439943319,0.14217702816372715,0.004097018390893936,0.2517094910144806,0.41336385615605603,22.076587677001953,22.60101890563965,1.024254597723484,43.59327689983791,752,1860,4137,
A,32,2,W3,ok,0.00044037733459845185,16.7,0.004,0.09117319756073991,0.8840843291917313,0.5563635981684417,0.09651429482789563,0.0008357671904377639,0.24870745837688446,0.4921383081463602,16.843721389770508,3.6054892539978027,0.20894179760944098,8.89276714928376,752,1860,4137,
A,32,2,W4,ok,0.00044037733459845185,16.7,0.004,0.09117319756073991,0.9063406900922899,0.39481389607539263,0.06977884979479887,0.0003577386378310621,0.26297444105148315,0.38839797500538503,8.388911247253418,1.1796056032180786,0.08943465945776552,3.806426529937449,752,1860,4137,
A,32,2,W5,ok,0.00044037733459845185,16.7,0.004,0.09117319756073991,0.9630783532957238,3.2002180978722263,4.444814035338115,0.005276079289615154,0.01643649861216545,0.587077869607599,2.2296407222747803,2.9121499061584473,1.3190198224037886,56.138772998651106,752,1860,4137,
A,64,0,W1,ok,0.0003433105011936277,20.7,0.004,0.09117319756073991,0.22164098499002544,0.1646674076110804,0.02041210543595651,0.018500996753573418,0.017112722620368004,0.6787756828497516,3.109060049057007,14.775532722473145,4.625249188393354,196.85512669264642,408,1094,2837,5447
A,64,0,W2,ok,0.0003433105011936277,20.7,0.004,0.09117319756073991,1.2714631148749607,1.2360152561309439,0.15392750213597278,0.0010752612724900246,0.2840195894241333,0.42675459310037367,30.66122817993164,8.27357292175293,0.26881531812250614,11.441042709379232,408,1094,2837,5447
A,64,0,W3,ok,0.0003433105011936277,20.7,0.004,0.09117319756073991,1.2642387000727993,1.050285848312325,0.13642223532377348,0.0003289259329903871,0.287447988986969,0.6119202728694759,12.243932723999023,1.362267255783081,0.08223148324759677,3.4998523092445355,408,1094,2837,5447
A,64,0,W4,ok,0.0003433105011936277,20.7,0.004,0.09117319756073991,1.253727192982036,0.6524028080344543,0.08322664350149189,0.00025985256070271134,0.2971137762069702,0.537847390836127,9.213719367980957,1.1101670265197754,0.06496314017567784,2.764894748098408,408,1094,2837,5447
A,64,0,W5,ok,0.0003433105011936277,20.7,0.004,0.09117319756073991,1.1575801056392099,0.33092867230004946,0.35937977000710586,0.020420625805854797,0.009553923271596432,1.3753103338595365,3.712892532348633,19.249065399169922,5.105156451463699,217.28044892382553,408,1094,2837,5447
A,64,1,W1,ok,0.05252603441476822,24.9,0.004,0.09117319756073991,0.22933594122779485,0.1624320245522791,0.02005446313266992,0.03957558423280716,0.010182047262787819,0.4112419628944063,2.4099369049072266,25.36099624633789,9.89389605820179,421.0938876350005,341,821,2181,5891
A,64,1,W2,ok,0.05252603441476822,24.9,0.004,0.09117319756073991,1.2628324058226077,1.264712888040069,0.15434682245462625,0.0021950926166027784,0.2857082188129425,0.5928693880648213,31.891630172729492,17.504959106445312,0.5487731541506946,23.356321872764546,341,821,2181,5891
A,64,1,W3,ok,0.05252603441476822,24.9,0.004,0.09117319756073991,1.2601097579511182,0.9684083282235197,0.12121391634430374,0.0005532066570594907,0.2798294126987457,0.9139480446309451,18.296226501464844,2.672802686691284,0.13830166426487267,5.8862540225908315,341,821,2181,5891
A,64,1,W4,ok,0.05252603441476822,24.9,0.004,0.09117319756073991,1.2615114220091028,0.6651134113310543,0.0867089025247855,0.00038892420707270503,0.2943437993526459,0.6044336626471897,13.013154029846191,1.5542008876800537,0.09723105176817626,4.138248607732268,341,821,2181,5891
A,64,1,W5,ok,0.05252603441476822,24.9,0.004,0.09117319756073991,1.231274464113223,11.247644215533843,10.210455482401741,0.019962754100561142,0.007210204377770424,1.2621436879444523,1.6662325859069824,9.164884567260742,4.9906885251402855,212.40858208577794,341,821,2181,5891
A,64,2,W1,ok,8.266369695775211e-05,20.5,0.004,0.09117319756073991,0.23580099208007052,0.17694602576019028,0.022283148310207345,0.020554091781377792,0.00966338999569416,0.557241759010355,3.4147286415100098,17.961271286010742,5.138522945344448,218.70055951952423,333,984,2364,5166
A,64,2,W2,ok,8.266369695775211e-05,20.5,0.004,0.09117319756073991,1.263140820586221,1.1297416203146493,0.14389978375716553,0.0011110790073871613,0.2772963047027588,0.4123360440181254,30.14446449279785,8.403295516967773,0.2777697518467903,11.822152161747391,333,984,2364,5166
A,64,2,W3,ok,8.266369695775211e-05,20.5,0.004,0.09117319756073991,1.2657693575139914,1.0789182895704077,0.1319909833391181,0.0002969813358504325,0.27562400698661804,0.46495300740051826,13.97880744934082,1.3906524181365967,0.07424533396260813,3.159953989122042,333,984,2364,5166
A,64,2,W4,ok,8.266369695775211e-05,20.5,0.004,0.09117319756073991,1.2632141010115938,0.6271765702910401,0.08066909795302235,0.00025200899108313024,0.2922308146953583,0.3906184217170206,16.258756637573242,1.3881555795669556,0.06300224777078256,2.6814372505510393,333,984,2364,5166
A,64,2,W5,ok,8.266369695775211e-05,20.5,0.004,0.09117319756073991,1.2238823045498508,0.4753060249968909,0.43358951487971686,0.008337263949215412,0.012515896931290627,0.9631714782338928,2.9488465785980225,6.193772792816162,2.084315987303853,88.71052586265839,333,984,2364,5166
A,128,0,W1,ok,0.03814559057354927,42.6,0.004,0.09117319756073991,0.2255721403205939,0.16570384502423066,0.01488630093477083,0.014506366103887558,0.013790793716907501,0.7822652421894469,2.5032925605773926,9.43370246887207,3.6265915259718895,154.35128038056303,315,535,1487,3531
A,128,0,W2,ok,0.03814559057354927,42.6,0.004,0.09117319756073991,1.7862677492577548,1.8090949013029574,0.15860731696777575,0.00037482273182831705,0.3059080243110657,0.4267956042175443,30.323509216308594,2.9824373722076416,0.09370568295707926,3.9882054650431558,315,535,1487,3531
A,128,0,W3,ok,0.03814559057354927,42.6,0.004,0.09117319756073991,1.7939840518564945,1.4665418979783573,0.13145406649744132,0.00015421371790580451,0.31191837787628174,0.48939314709499476,5.153581619262695,0.9817608594894409,0.03855342947645113,1.640871644941382,315,535,1487,3531
A,128,0,W4,ok,0.03814559057354927,42.6,0.004,0.09117319756073991,1.7900491088814943,1.2522715670890703,0.11037530491440949,0.0001520688529126346,0.31555941700935364,0.38353883360762514,20.28288459777832,1.2328693866729736,0.03801721322815865,1.6180497572564643,315,535,1487,3531
A,128,0,W5,ok,0.03814559057354927,42.6,0.004,0.09117319756073991,1.7921670992696632,0.6709993330286458,0.5494680709450306,0.01025932002812624,0.009609309025108814,1.0857530233724513,3.012183666229248,7.8529887199401855,2.56483000703156,109.16167225028649,315,535,1487,3531
A,128,1,W1,ok,1.4305726381280692e-08,43.8,0.004,0.09117319756073991,0.22211531439079626,0.16211063423299618,0.014316074254404005,0.025831911712884903,0.009972458705306053,0.9037751490812731,2.372798204421997,16.238264083862305,6.457977928221226,274.85785337328014,278,603,1381,3526
A,128,1,W2,ok,1.4305726381280692e-08,43.8,0.004,0.09117319756073991,1.7858017890908797,1.7177513168845127,0.15383894780277718,0.000572722579818219,0.3090466558933258,0.5455208472162961,33.34271240234375,4.850170612335205,0.14318064495455474,6.093908210003805,278,603,1381,3526
A,128,1,W3,ok,1.4305726381280692e-08,43.8,0.004,0.09117319756073991,1.7858720259833345,1.698189983037157,0.1476495992691386,0.00019330999930389225,0.31422120332717896,0.6368464816372188,4.839356899261475,0.9799867868423462,0.048327499825973064,2.056865633283951,278,603,1381,3526
A,128,1,W4,ok,1.4305726381280692e-08,43.8,0.004,0.09117319756073991,1.7869844336694813,1.1598189727447177,0.10577942661004688,0.00019272380450274795,0.32089823484420776,0.5831290607910643,11.82117748260498,1.1092039346694946,0.04818095112568699,2.050628377346724,278,603,1381,3526
A,128,1,W5,ok,1.4305726381280692e-08,43.8,0.004,0.09117319756073991,1.907757025412886,1.061468953398719,1.6040589830174838,0.027943141758441925,0.006307417526841164,1.0250887715826633,3.8705050945281982,27.58984375,6.985785439610481,297.32185699595937,278,603,1381,3526
A,128,2,W1,ok,4.8319026731136194e-12,44.6,0.004,0.09117319756073991,0.2302434233543866,0.16940607272030048,0.015156633442783769,0.01740989461541176,0.012103740125894547,1.1816445763839691,3.3721115589141846,15.027067184448242,4.35247365385294,185.2455333013636,336,680,2222,3654
A,128,2,W2,ok,4.8319026731136194e-12,44.6,0.004,0.09117319756073991,1.7890045439204774,1.7224327859374204,0.15321115668463575,0.0003237791243009269,0.30802038311958313,0.4495064497473772,17.88089370727539,1.714468240737915,0.08094478107523173,3.4450890070224105,336,680,2222,3654
A,128,2,W3,ok,4.8319026731136194e-12,44.6,0.004,0.09117319756073991,1.7939461802776906,1.6169687528601935,0.14232957112666095,0.00015499989967793226,0.31468385457992554,0.5508927551240234,3.871673822402954,0.9728866219520569,0.038749974919483066,1.6492368111222673,336,680,2222,3654
A,128,2,W4,ok,4.8319026731136194e-12,44.6,0.004,0.09117319756073991,1.7864699799240484,1.1888683115410352,0.10646941255661899,0.00014842391829006374,0.3205451965332031,0.44530206234490016,11.211898803710938,1.0489203929901123,0.037105979572515935,1.579266762130863,336,680,2222,3654
A,128,2,W5,ok,4.8319026731136194e-12,44.6,0.004,0.09117319756073991,1.7357028861998394,8.358779921697037,10.143147997201307,0.00896147545427084,0.010936856269836426,1.0576004565669779,3.4447131156921387,7.786649227142334,2.24036886356771,95.35228881994121,336,680,2222,3654
A,256,0,W1,ok,8.987396284070627e-31,101.9,0.004,0.09117319756073991,0.2209455475797011,0.16339867766365168,0.010263494969123689,0.02177474834024906,0.014380352571606636,1.5469894479512476,8.645087242126465,47.22470474243164,5.443687085062265,231.6886436073938,182,281,533,2031
A,256,0,W2,ok,8.987396284070627e-31,101.9,0.004,0.09117319756073991,2.534576478220841,2.3975762116169954,0.15202118817989502,0.0001528899883851409,0.3201211988925934,0.39428799927688896,9.625988960266113,1.0297504663467407,0.038222497096285224,1.6267868393512885,182,281,533,2031
A,256,0,W3,ok,8.987396284070627e-31,101.9,0.004,0.09117319756073991,2.523716713421501,2.396079547642227,0.1491306552958888,0.00011818793427664787,0.33310961723327637,0.7296489782819532,1.4787110090255737,0.9714359641075134,0.029546983569161966,1.257548503222019,182,281,533,2031
